I
1050 Generated by WorldEditor

1      3 1 0 VTBS Bangkok Suvarnabhumi Intl
1302 city Bangkok
1302 country Thailand
1302 datum_lat 13.685833333
1302 datum_lon 100.748888889
1302 faa_code 
1302 iata_code BKK
1302 icao_code VTBS
1302 region_code VT
1302 state Bangkok Province
1302 transition_alt 11000
1302 transition_level 13000
100 60.96 1 2 0.00 1 3 1 01R  13.65632979  100.75173386    0  122 3 2 0 2 19L  13.69134900  100.76084429    0  122 3 2 1 2
100 60.96 1 2 0.00 1 3 1 01L  13.67087849  100.73449980    0  122 3 2 1 2 19R  13.70326479  100.74297012    0  122 3 2 1 2
110 4 1.00 13.6600 New Runway Construction
111  13.70019385  100.73901866
111  13.70096052  100.73929868
111  13.70133291  100.73807489
111  13.66380121  100.72831198
111  13.66350307  100.72930437
111  13.66419902  100.72961638
111  13.66400901  100.73044443
111  13.66410067  100.73121109
113  13.69963438  100.74090430
111  13.69808715  100.73914664
111  13.69393059  100.73817305
111  13.69331593  100.73723063
113  13.69820410  100.73848359
111  13.69166210  100.73753313
111  13.68855447  100.73674491
111  13.68738058  100.73569255
113  13.69069859  100.73648459
111  13.68631929  100.73620538
111  13.68247829  100.73523753
114  13.68476441  100.73488001  13.68612656  100.73520412
111  13.68038277  100.73473379
111  13.67881436  100.73417313
112  13.68088658  100.73401127  13.68165502  100.73419154
113  13.68189928  100.73426250
111  13.67851468  100.73326949
111  13.67654118  100.73379901
111  13.67619232  100.73369289
113  13.67645540  100.73269987
111  13.67528246  100.73357656
111  13.67420081  100.73325754
113  13.67564838  100.73271845
111  13.67235367  100.73259200
111  13.67088810  100.73216622
111  13.67236955  100.73169427
113  13.67415010  100.73215904
111  13.66956160  100.73180949
111  13.66613959  100.73094900
111  13.66632902  100.73015421
113  13.67062407  100.73123014
111  13.66505794  100.73062999
111  13.66496099  100.73016258
111  13.66521172  100.72986780
113  13.66545716  100.72987227
110 4 1.00 15.1500 New Terminal Construction
111  13.67595984  100.75347201
111  13.68210930  100.75504697
111  13.68504833  100.74321674
111  13.68452081  100.74257226
111  13.68185137  100.74187513
111  13.68217687  100.74077164
111  13.68188518  100.73996407
113  13.67948443  100.73934009
110 3 0.00 0.0000 New Taxiway 7
111  13.69852072  100.75122428
111  13.69791814  100.75344740
111  13.71354966  100.75747776
113  13.71409371  100.75537512
110 2 1.00 285.6800 New Taxiway 127
111  13.68219334  100.74763421
111  13.68362926  100.74798660
111  13.68481442  100.74324976
113  13.68339994  100.74283147
110 2 1.00 13.2700 New Taxiway 126
111  13.67905440  100.74685669
111  13.67967961  100.74712408
111  13.68006663  100.74559501
111  13.68028103  100.74568425
111  13.67989552  100.74712801
111  13.68233183  100.74769668
111  13.68312835  100.74277009
111  13.68129592  100.74223794
111  13.68055044  100.74469922
111  13.68028266  100.74457487
111  13.68120788  100.74110986
111  13.68061594  100.74099669
111  13.67976661  100.74424120
111  13.68007037  100.74436620
111  13.67962696  100.74603078
113  13.67928600  100.74597338
110 2 1.00 14.8300 New Taxiway 125
111  13.68044899  100.74041751
111  13.68093359  100.74049460
111  13.68102597  100.74035974
111  13.68120529  100.74039713
111  13.68119895  100.74075544
111  13.68171802  100.74091850
111  13.68176306  100.74040728
113  13.67996802  100.73997790
110 2 1.00 284.0400 New Taxiway 124
111  13.67870054  100.74392370
111  13.67948084  100.74411652
111  13.68034786  100.74088940
113  13.67952316  100.74066576
110 2 1.00 15.9400 New Taxiway 123
111  13.67801312  100.74668911
111  13.67870576  100.74682564
111  13.67892585  100.74598389
113  13.67830197  100.74572350
110 2 1.00 13.0600 New Taxiway 122
111  13.67841531  100.75246039
111  13.67993563  100.75284230
111  13.68001062  100.75267298
111  13.68022532  100.75274516
111  13.68022200  100.75293285
111  13.68205363  100.75335956
111  13.68245169  100.75293448
111  13.68356090  100.74844401
111  13.68197171  100.74804842
111  13.68126945  100.75101228
111  13.68104899  100.75095318
111  13.68173488  100.74799279
111  13.67979983  100.74745056
111  13.67941703  100.74874075
111  13.67922032  100.74866890
111  13.67951194  100.74744532
111  13.67883064  100.74729638
111  13.67850424  100.74845106
111  13.67828893  100.74841301
111  13.67852597  100.74722257
111  13.67784648  100.74697126
111  13.67623186  100.75277910
111  13.67689518  100.75292771
111  13.67747057  100.75092417
111  13.67792443  100.74968647
111  13.67810345  100.74974093
111  13.67727634  100.75274689
111  13.67790307  100.75292897
111  13.67840076  100.75124831
113  13.67865266  100.75125289
110 1 0.00 14.5000 Term TW 1
111  13.69389609  100.74402244
111  13.69345891  100.74577317
111  13.69726855  100.74676709
111  13.69732446  100.74596762
111  13.69443582  100.74518767
112  13.69429089  100.74482636  13.69435511  100.74455953
113  13.69443585  100.74415647
110 1 0.00 14.8900 Term TW 2
111  13.68782991  100.74424851
111  13.69116858  100.74512995
111  13.69159346  100.74340130
111  13.69087934  100.74327916
111  13.69074618  100.74380542
112  13.69044335  100.74411073  13.69025104  100.74405081
113  13.68802015  100.74350884
110 1 0.00 14.4500 Term TW 3
111  13.68602345  100.75152129
111  13.68941628  100.75237057
111  13.69000412  100.75002260
111  13.69078381  100.75021811
111  13.69091717  100.74975492
111  13.69014419  100.74955328
111  13.69060732  100.74747355
111  13.68723048  100.74663069
111  13.68692528  100.74789675
111  13.68956724  100.74856167
111  13.68968189  100.74898496
111  13.68928527  100.75052243
111  13.68910331  100.75083681
111  13.68651524  100.75019362
113  13.68633356  100.75029598
110 1 0.00 14.4000 Term TW 4
111  13.68841672  100.75653472
111  13.68885745  100.75475004
111  13.68542614  100.75393718
111  13.68525185  100.75466089
111  13.68786654  100.75528128
113  13.68756281  100.75631477
110 1 0.00 14.7200 Term TW 5
111  13.70554033  100.76100144
111  13.70661279  100.75648613
111  13.70593974  100.75631486
111  13.70531747  100.75897530
111  13.70456871  100.75878435
111  13.70476101  100.75800437
111  13.70461338  100.75797311
111  13.70466525  100.75773952
111  13.69455316  100.75522918
111  13.69438413  100.75548286
111  13.70426972  100.75785774
111  13.70405336  100.75875685
111  13.69116505  100.75531056
111  13.69072511  100.75707318
111  13.69077452  100.75715237
111  13.69129765  100.75727966
111  13.69133914  100.75714880
111  13.69153593  100.75642273
112  13.69179743  100.75627699  13.69201482  100.75632872
111  13.69488447  100.75708786
111  13.69481211  100.75738114
111  13.69491242  100.75740685
111  13.69494289  100.75758256
111  13.69475226  100.75818695
111  13.69523880  100.75832040
111  13.69549843  100.75745436
112  13.69563793  100.75733876  13.69576672  100.75734900
111  13.69892886  100.75820836
112  13.69913255  100.75835993  13.69913335  100.75849561
111  13.69893396  100.75928385
111  13.69961823  100.75945271
111  13.70001523  100.75848167
111  13.70390743  100.75951932
113  13.70368154  100.76051117
111  13.70432527  100.75962305
111  13.70507491  100.75979986
111  13.70486550  100.76060264
113  13.70414605  100.76042305
110 1 0.00 14.9300 01R TWs
111  13.67092204  100.73479796 53 102
112  13.67063294  100.73511731  13.67056492  100.73533416 53 102
111  13.67043950  100.73577314 53 102
112  13.67065765  100.73645677  13.67092389  100.73652248 53 102
111  13.68390968  100.73991398 53 102
112  13.68415759  100.74052545  13.68418730  100.74096216 53 102
112  13.68447257  100.74114499  13.68467484  100.74119939 53 102
111  13.68591064  100.74151855 53 102
112  13.68613243  100.74191878  13.68604194  100.74226789 53 102
111  13.68517825  100.74578351 53 102
112  13.68462846  100.74593655  13.68418694  100.74580173
111  13.68462846  100.74593655
112  13.68462846  100.74593655  13.68461222  100.74598545 106
111  13.68448144  100.74650237 53 102
112  13.68487430  100.74700083  13.68475485  100.74740439 53 102
111  13.68413544  100.75000468 53 102
112  13.68358440  100.75016504  13.68310599  100.74999912
111  13.68358440  100.75016504
112  13.68358440  100.75016504  13.68356283  100.75023553 106
112  13.68351522  100.75038879  13.68349151  100.75046488 106
112  13.68344717  100.75060613  13.68342634  100.75067235
111  13.68344717  100.75060613
112  13.68344717  100.75060613  13.68342634  100.75067235 106
112  13.68339529  100.75077061  13.68338236  100.75081147 106
111  13.68337465  100.75083577 53 102
111  13.68364063  100.75091668 53 102
112  13.68380644  100.75132052  13.68371569  100.75161303 53 102
111  13.68301027  100.75452136
111  13.68343360  100.75472731 53 102
111  13.68348996  100.75448910 53 102
112  13.68389641  100.75427052  13.68419234  100.75432090 53 102
111  13.68426420  100.75437735 53 102
112  13.68435322  100.75465834  13.68430298  100.75485702 53 102
111  13.68430298  100.75485702
111  13.68482956  100.75504170 53 102
111  13.68489840  100.75476430 53 102
112  13.68525185  100.75466089  13.68552861  100.75473693
111  13.68525185  100.75466089
112  13.68525185  100.75466089  13.68531742  100.75437046
111  13.68542036  100.75397288 53 102
112  13.68516292  100.75368656  13.68521283  100.75346112 53 102
111  13.68567628  100.75167313 53 102
112  13.68602345  100.75152129  13.68635833  100.75159835
111  13.68602345  100.75152129
112  13.68602345  100.75152129  13.68606792  100.75125345
111  13.68633356  100.75029598 53 102
112  13.68611652  100.74986580  13.68620899  100.74946785 53 102
111  13.68656455  100.74803795 53 102
112  13.68696157  100.74775408  13.68728430  100.74783227
111  13.68696157  100.74775408
112  13.68696157  100.74775408  13.68702899  100.74747596
111  13.68723048  100.74663069 53 102
112  13.68701305  100.74623410  13.68710496  100.74588478 53 102
111  13.68742915  100.74448236 53 102
112  13.68782991  100.74424851  13.68813873  100.74431128
111  13.68782991  100.74424851
112  13.68782991  100.74424851  13.68788418  100.74397453
111  13.68802015  100.74350884 53 102
112  13.68775522  100.74321957  13.68781492  100.74293026 53 102
111  13.68797338  100.74235182 53 102
112  13.68825784  100.74213208  13.68850796  100.74220256 53 102
111  13.69073317  100.74277441 53 102
112  13.69087934  100.74327916  13.69074304  100.74372805
111  13.69087934  100.74327916
112  13.69087934  100.74327916  13.69115614  100.74332273
111  13.69159346  100.74340130 53 102
112  13.69197890  100.74310888  13.69228231  100.74319047 53 102
111  13.69373497  100.74355404 53 102
112  13.69389609  100.74402244  13.69378733  100.74442618
111  13.69389609  100.74402244
112  13.69389609  100.74402244  13.69416994  100.74408168
111  13.69443585  100.74415647 53 102
112  13.69489025  100.74385799  13.69518296  100.74393939 53 102
111  13.69754160  100.74455255 53 102
112  13.69771276  100.74548276  13.69748963  100.74630534
111  13.69771276  100.74548276
112  13.69771276  100.74548276  13.69756024  100.74597191 53 102
111  13.69732446  100.74596762
111  13.69727368  100.74672235 53 102
112  13.69810316  100.74608829  13.69825729  100.74553831 53 102
111  13.69835500  100.74515465 53 102
112  13.69859900  100.74482926  13.69876928  100.74487800
111  13.71352001  100.74891954 53 102
111  13.71364570  100.74846543 53 102
112  13.71335713  100.74818569  13.71302183  100.74809338 53 102
111  13.70867517  100.74696723 53 102
112  13.70787494  100.74563909  13.70720950  100.74546470 53 102
111  13.70343939  100.74447998 53 102
112  13.70321968  100.74410797  13.70327095  100.74380200 53 102
112  13.70308568  100.74321089  13.70296005  100.74305646
111  13.70308568  100.74321089
112  13.70308568  100.74321089  13.70303776  100.74319853
111  13.70255958  100.74307495 53 102
112  13.70282323  100.74350157  13.70284584  100.74373526 53 102
112  13.70274305  100.74410360  13.70269867  100.74419407 53 102
112  13.70232567  100.74419881  13.70208090  100.74412843 53 102
111  13.70205044  100.74395407 53 102
111  13.70230940  100.74300751
111  13.70172754  100.74285786 53 102
112  13.70183282  100.74325534  13.70180776  100.74346281 53 102
111  13.70170543  100.74380580 53 102
112  13.70119676  100.74389433  13.70078126  100.74380056 53 102
111  13.69912644  100.74335253 53 102
112  13.69894654  100.74288882  13.69907196  100.74244989 53 102
111  13.69915102  100.74218000
111  13.69865586  100.74205435 53 102
111  13.69842038  100.74297012 53 102
112  13.69800557  100.74306497  13.69763293  100.74296691
111  13.69800557  100.74306497
112  13.69800557  100.74306497  13.69791241  100.74304046 53 102
112  13.69711320  100.74283250  13.69700456  100.74280437
111  13.69711320  100.74283250
112  13.69711320  100.74283250  13.69705888  100.74281843 53 102
112  13.69557145  100.74124486  13.69477229  100.73987882
111  13.69557145  100.74124486
112  13.69557145  100.74124486  13.69552862  100.74123043
112  13.69442324  100.74094398  13.69426525  100.74090339
111  13.69442324  100.74094398
112  13.69442324  100.74094398  13.69479824  100.74117464 53 102
112  13.69568933  100.74219495  13.69582748  100.74243001 53 102
112  13.69544042  100.74239169  13.69511533  100.74230657
111  13.69544042  100.74239169
112  13.69544042  100.74239169  13.69541115  100.74238560 53 102
112  13.69248102  100.74161984  13.69224658  100.74154660
111  13.69248102  100.74161984
112  13.69248102  100.74161984  13.69224658  100.74154660 53 102
112  13.69094930  100.74003738  13.69062698  100.73973284
111  13.69094930  100.74003738
112  13.69094930  100.74003738  13.69088696  100.74002095
112  13.69007637  100.73980732  13.68995201  100.73977549
111  13.69007637  100.73980732
112  13.69007637  100.73980732  13.69057587  100.74023867 53 102
112  13.69125573  100.74098311  13.69144242  100.74132376 53 102
112  13.69087577  100.74119971  13.69071421  100.74115022
111  13.69087577  100.74119971
112  13.69087577  100.74119971  13.69053016  100.74110998 53 102
112  13.68737905  100.74028214  13.68702659  100.74019351 53 102
112  13.68708976  100.74005327  13.68714118  100.73999420
111  13.68708976  100.74005327
112  13.68708976  100.74005327  13.68728433  100.73987232 53 102
112  13.68900139  100.73952686  13.68955707  100.73949692
111  13.68900139  100.73952686
112  13.68900139  100.73952686  13.68884737  100.73948862
112  13.68815034  100.73930248  13.68808775  100.73928412
111  13.68815034  100.73930248
112  13.68815034  100.73930248  13.68769827  100.73946869 53 102
112  13.68740135  100.73949883  13.68717515  100.73955717
111  13.68740135  100.73949883
112  13.68740135  100.73949883  13.68715595  100.73954299 53 102
112  13.68732724  100.73908862  13.68739277  100.73882038
111  13.68732724  100.73908862
112  13.68732724  100.73908862  13.68727911  100.73907359
112  13.68678367  100.73894948  13.68667405  100.73891839
111  13.68678367  100.73894948
112  13.68678367  100.73894948  13.68674426  100.73907182 53 102
112  13.68648226  100.73998503  13.68642837  100.74012015
111  13.68648226  100.73998503
112  13.68648226  100.73998503  13.68643494  100.74002345 53 102
112  13.68603514  100.73978042  13.68580841  100.73947392 53 102
112  13.68494817  100.73846913  13.68474817  100.73819524
111  13.68494817  100.73846913
112  13.68494817  100.73846913  13.68487014  100.73844643
112  13.68418227  100.73826693  13.68406027  100.73823032
111  13.68418227  100.73826693
112  13.68418227  100.73826693  13.68441077  100.73846547 53 102
112  13.68535245  100.73953306  13.68551197  100.73980337
111  13.68535245  100.73953306
112  13.68535245  100.73953306  13.68541020  100.73968408 53 102
112  13.68506047  100.73967989  13.68488318  100.73963378 53 102
112  13.68250069  100.73901104  13.68245275  100.73899607
111  13.68250069  100.73901104
112  13.68250069  100.73901104  13.68211717  100.73889131 53 102
112  13.68242844  100.73852093  13.68254461  100.73844390
111  13.68242844  100.73852093
112  13.68242844  100.73852093  13.68285739  100.73835276 53 102
112  13.68378075  100.73816099  13.68433314  100.73803877
111  13.68378075  100.73816099
112  13.68378075  100.73816099  13.68364602  100.73812771
112  13.68294256  100.73794045  13.68289663  100.73792680
111  13.68294256  100.73794045
112  13.68294256  100.73794045  13.68220048  100.73820813 53 102
112  13.68071984  100.73855567  13.68032856  100.73845102 53 102
112  13.67877638  100.73804116  13.67844021  100.73796083
111  13.67877638  100.73804116
112  13.67877638  100.73804116  13.67844547  100.73793787 53 102
112  13.67883770  100.73769034  13.67925302  100.73755911 53 102
112  13.68048405  100.73729911  13.68092249  100.73729174
111  13.68048405  100.73729911
112  13.68048405  100.73729911  13.68034188  100.73725944
112  13.67948241  100.73703637  13.67937497  100.73700574
111  13.67948241  100.73703637
112  13.67948241  100.73703637  13.67909414  100.73718145 53 102
112  13.67733667  100.73765714  13.67685923  100.73762673
111  13.67733667  100.73765714
112  13.67733667  100.73765714  13.67704509  100.73758286 53 102
112  13.67546527  100.73718211  13.67526184  100.73713897 53 102
112  13.67527951  100.73680358  13.67531979  100.73661978
111  13.67527951  100.73680358
112  13.67527951  100.73680358  13.67536356  100.73655982 53 102
112  13.67550411  100.73599993  13.67553436  100.73589922
111  13.67550411  100.73599993
112  13.67550411  100.73599993  13.67544875  100.73598323
112  13.67504486  100.73588037  13.67500707  100.73587255
111  13.67504486  100.73588037
112  13.67504486  100.73588037  13.67501885  100.73596778 53 102
112  13.67480261  100.73669915  13.67473252  100.73686986 53 102
112  13.67444676  100.73690483  13.67425434  100.73687012
111  13.67444676  100.73690483
112  13.67444676  100.73690483  13.67425434  100.73687012 53 102
112  13.67212595  100.73630423  13.67198051  100.73626591 53 102
112  13.67194060  100.73596464  13.67192894  100.73596100
111  13.67194060  100.73596464
112  13.67194060  100.73596464  13.67194383  100.73592414 53 102
112  13.67205008  100.73549077  13.67209112  100.73533577 53 102
112  13.67245963  100.73520093  13.67260024  100.73516461
111  13.67245963  100.73520093
112  13.67245963  100.73520093  13.67244242  100.73519159
112  13.67181473  100.73503302  13.67179099  100.73502718
111  13.67181473  100.73503302
112  13.67181473  100.73503302  13.67178680  100.73502227 53 102
112  13.67156670  100.73595599  13.67151838  100.73606018 53 102
112  13.67125103  100.73608062  13.67114665  100.73605292
111  13.67125103  100.73608062
112  13.67125103  100.73608062  13.67114665  100.73605292 53 102
112  13.67092655  100.73599006  13.67085175  100.73597062
111  13.67092655  100.73599006
112  13.67092655  100.73599006  13.67090785  100.73598520 53 102
